gene,location,confidence
ANKRD29,Nucleus,2.0
ANKRD29,Nucleus,2.0
ANKRD33B,Mitochondria,2.0
ANKRD34A,Cytosol,3.0
ANKRD34B,Vesicles,2.0
ANKRD34C,Mitochondria,2.0
ANKRD35,Plasma membrane,2.0
ANKRD36,Nucleus,2.0
ANKRD36,Cytosol,2.0
ANKRD36B,Nucleus,2.0
ANKRD36B,Cytosol,2.0
ANKRD36C,Nucleus,2.0
ANKRD36C,Cytosol,2.0
ANKRD37,Nucleus,1.0
ANKRD37,Cytosol,1.0
ANKRD37,Mitochondria,2.0
ANKRD39,Nucleus,2.0
ANKRD39,Vesicles,2.0
ANKRD40,Golgi apparatus,2.0
ANKRD40,Cytosol,2.0
ANKRD42,Nucleus,2.0
ANKRD42,Cytosol,2.0
ANKRD42,Plasma membrane,2.0
ANKRD44,Nucleus,2.0
ANKRD44,Mitochondria,2.0
ANKRD46,Cytosol,2.0
ANKRD49,Nucleus,2.0
ANKRD49,Nucleolus,2.0
ANKRD49,Golgi apparatus,2.0
ANKRD50,Nucleus,2.0
ANKRD50,Cytosol,2.0
ANKRD52,Nucleus,2.0
ANKRD52,Mitochondria,2.0
ANKRD54,Nucleus,2.0
ANKRD54,Cytoskeleton,2.0
ANKRD54,Cytoskeleton,2.0
ANKRD6,Vesicles,1.0
ANKRD65,Nucleus,2.0
ANKRD7,Nucleus,2.0
ANKS1A,Nucleus,2.0
ANKS1A,Cytosol,2.0
ANKS1B,Vesicles,2.0
ANKS1B,Cytosol,2.0
ANKS1B,Plasma membrane,2.0
ANKS3,Nucleus,1.0
ANKS3,Cytosol,1.0
ANKS4B,Nucleus,2.0
ANKS4B,Cytosol,2.0
ANKS6,Nucleus,2.0
ANKS6,Nucleolus,2.0
ANKS6,Cytosol,2.0
ANKZF1,Nucleus,2.0
ANKZF1,Nucleus,2.0
ANKZF1,Cytosol,2.0
ANLN,Nucleus,1.0
ANO2,Nucleus,2.0
